,city_name,date,白天,晚上
122,花蓮縣,06/27,26-32,26-30
123,花蓮縣,06/28,26-32,25-29
124,花蓮縣,06/29,26-31,25-29
125,花蓮縣,06/30,26-31,25-29
126,臺東縣,06/24,30-32,26-30
127,臺東縣,06/25,26-32,26-30
128,臺東縣,06/26,26-32,26-30
129,臺東縣,06/27,26-32,26-30
130,臺東縣,06/28,26-32,26-30
131,臺東縣,06/29,26-32,26-29
132,臺東縣,06/30,26-32,26-30
133,澎湖縣,06/24,29-32,26-29
134,澎湖縣,06/25,27-31,26-29
135,澎湖縣,06/26,27-31,26-29
136,澎湖縣,06/27,27-31,26-29
137,澎湖縣,06/28,27-31,27-29
138,澎湖縣,06/29,27-31,26-28
139,澎湖縣,06/30,26-31,26-28
140,金門縣,06/24,28-31,26-28
141,金門縣,06/25,26-30,25-27
142,金門縣,06/26,26-30,26-27
143,金門縣,06/27,26-30,26-28
144,金門縣,06/28,26-29,26-28
145,金門縣,06/29,26-30,26-28
146,金門縣,06/30,26-29,26-27
147,連江縣,06/24,27-30,25-27
148,連江縣,06/25,25-29,24-27
149,連江縣,06/26,24-29,24-26
150,連江縣,06/27,24-29,24-27
151,連江縣,06/28,24-29,25-27
152,連江縣,06/29,25-29,24-27
153,連江縣,06/30,25-29,24-26
